运输架次,阶段,开始_s,结束_s,保障方式,中继架次
T14,爬升,4315.651144,4356.454877,中继,RS01
T14,巡航,4356.454877,4695.625078,中继,RS01
T14,巡航,4695.625078,4895.057085,直连,
T14,下降,4895.057085,5017.661751,直连,
T15,爬升,2990.0,3143.70927,直连,
T15,巡航,3143.70927,3370.432298,直连,
T15,巡航,3370.432298,3446.006641,中继,RS01
T15,下降,3446.006641,3527.743229,中继,RS01
T15,投送,3527.743229,3743.743229,中继,RS01
T15,爬升,3743.743229,3768.622965,中继,RS01
T15,巡航,3768.622965,3950.907073,中继,RS01
T15,下降,3950.907073,3987.006744,中继,RS01
T15,投送,3987.006744,4383.006744,中继,RS01
T15,爬升,4383.006744,4472.328399,中继,RS01
T15,巡航,4472.328399,4695.625078,中继,RS01
T15,巡航,4695.625078,4956.540349,直连,
T15,下降,4956.540349,5173.592418,直连,
T16,爬升,3456.0,3537.736444,直连,
T16,巡航,3537.736444,3672.386996,直连,
T16,巡航,3672.386996,4076.338652,中继,RS01
T16,下降,4076.338652,4117.142384,中继,RS01
T16,投送,4117.142384,4357.142384,中继,RS01
T16,爬升,4357.142384,4391.145495,中继,RS01
T16,巡航,4391.145495,4695.625078,中继,RS01
T16,巡航,4695.625078,4724.890406,中继,RS02
T16,巡航,4724.890406,4929.747703,直连,
T16,下降,4929.747703,5027.831436,直连,
T17,爬升,5418.0,5473.176304,直连,
T17,巡航,5473.176304,5663.347803,直连,
T17,巡航,5663.347803,5853.519302,中继,RS02
T17,下降,5853.519302,5878.810867,中继,RS02
T17,投送,5878.810867,6118.810867,中继,RS02
T17,爬升,6118.810867,6139.887171,中继,RS02
T17,巡航,6139.887171,6258.155878,中继,RS02
T17,巡航,6258.155878,6303.948111,直连,
T17,巡航,6303.948111,6358.018625,中继,RS03
T17,巡航,6358.018625,6520.230168,直连,
T17,下降,6520.230168,6586.441733,直连,
T18,爬升,5709.0,5776.064702,直连,
T18,巡航,5776.064702,5963.269651,直连,
T18,下降,5963.269651,6004.900529,直连,
T18,投送,6004.900529,6292.900529,直连,
T18,爬升,6292.900529,6352.516095,直连,
T18,巡航,6352.516095,6712.765065,中继,RS03
T18,下降,6712.765065,6779.184523,中继,RS03
T18,投送,6779.184523,7031.184523,中继,RS03
T18,爬升,7031.184523,7099.160189,中继,RS03
T18,巡航,7099.160189,7256.608205,中继,RS03
T18,巡航,7256.608205,7613.473286,直连,
T18,下降,7613.473286,7748.742869,直连,
T19,爬升,5972.0,6062.179722,直连,
T19,巡航,6062.179722,6303.948111,直连,
T19,巡航,6303.948111,6705.071093,中继,RS03
T19,下降,6705.071093,6773.046759,中继,RS03
T19,投送,6773.046759,6983.046759,中继,RS03
T19,爬升,6983.046759,7039.693148,中继,RS03
T19,巡航,7039.693148,7256.608205,中继,RS03
T19,巡航,7256.608205,7682.584519,直连,
T19,下降,7682.584519,7790.800185,直连,
T20,爬升,5972.0,6062.179722,直连,
T20,巡航,6062.179722,6303.948111,直连,
T20,巡航,6303.948111,6705.071093,中继,RS03
T20,下降,6705.071093,6773.046759,中继,RS03
T20,投送,6773.046759,6983.046759,中继,RS03
T20,爬升,6983.046759,7039.693148,中继,RS03
T20,巡航,7039.693148,7256.608205,中继,RS03
T20,巡航,7256.608205,7682.584519,直连,
T20,下降,7682.584519,7790.800185,直连,
T21,爬升,6192.0,6271.484355,直连,
T21,巡航,6271.484355,6383.842288,直连,
T21,巡航,6383.842288,6623.524818,中继,RS03
T21,下降,6623.524818,6689.230262,中继,RS03
T21,投送,6689.230262,7085.230262,中继,RS03
T21,爬升,7085.230262,7133.685462,中继,RS03
T21,巡航,7133.685462,7256.608205,中继,RS03
T21,巡航,7256.608205,7328.888147,直连,
T21,下降,7328.888147,7394.957148,直连,
T21,投送,7394.957148,7646.957148,直连,
T21,爬升,7646.957148,7682.579792,直连,
T21,巡航,7682.579792,7886.178381,直连,
T21,下降,7886.178381,7958.856686,直连,
T22,爬升,7372.0,7520.033085,直连,
T22,巡航,7520.033085,7747.984974,直连,
T22,巡航,7747.984974,7920.658617,中继,RS04
T22,下降,7920.658617,7959.578319,中继,RS04
T22,投送,7959.578319,8169.578319,中继,RS04
T22,爬升,8169.578319,8202.011404,中继,RS04
T22,巡航,8202.011404,8341.795198,中继,RS04
T22,巡航,8341.795198,8602.636935,直连,
T22,下降,8602.636935,8780.276637,直连,
