条目,输入,第二实现值,被核验实现值,绝对差,相对差,容差,判定,来源
式(2-5) 两阶段充电时长,"A 型电池 1800 s, SOC=0.8999999999",630.00000013,630.00000013,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"A 型电池 1800 s, SOC=0.9",629.9999999999998,629.9999999999998,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"A 型电池 1800 s, SOC=0.9000000001",629.9999993699998,629.9999993699998,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"A 型电池 1800 s, SOC=0.95",315.0000000000003,315.0000000000003,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"A 型电池 1800 s, SOC=1",0.0,0.0,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"B 型电池 2400 s, SOC=0",2400.0,2400.0,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"B 型电池 2400 s, SOC=0.2",2053.333333333333,2053.333333333333,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"B 型电池 2400 s, SOC=0.5",1533.3333333333333,1533.3333333333333,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"B 型电池 2400 s, SOC=0.8",1013.3333333333331,1013.3333333333331,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"B 型电池 2400 s, SOC=0.8999999999",840.0000001733333,840.0000001733333,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"B 型电池 2400 s, SOC=0.9",839.9999999999998,839.9999999999998,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"B 型电池 2400 s, SOC=0.9000000001",839.9999991599998,839.9999991599998,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"B 型电池 2400 s, SOC=0.95",420.00000000000034,420.00000000000034,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"B 型电池 2400 s, SOC=1",0.0,0.0,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"C 型电池 3000 s, SOC=0",3000.0,3000.0,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"C 型电池 3000 s, SOC=0.2",2566.6666666666665,2566.6666666666665,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"C 型电池 3000 s, SOC=0.5",1916.6666666666665,1916.6666666666665,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"C 型电池 3000 s, SOC=0.8",1266.6666666666665,1266.6666666666665,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"C 型电池 3000 s, SOC=0.8999999999",1050.0000002166666,1050.0000002166666,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"C 型电池 3000 s, SOC=0.9",1049.9999999999995,1049.9999999999995,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"C 型电池 3000 s, SOC=0.9000000001",1049.9999989499997,1049.9999989499997,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"C 型电池 3000 s, SOC=0.95",525.0000000000005,525.0000000000005,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"C 型电池 3000 s, SOC=1",0.0,0.0,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(3-5) 自由空间传播损耗,"D=0.3 km, f=2400 MHz, Lobs=10 dB",89.59664992862537,89.59664992962537,1.0000036354540498e-09,1.1161172167034293e-11,1e-09,一致,问题三_通信核心.certified_link（门限二分反解）
式(3-5) 与物理式一致性（容差依据）,"D=0.3 km, f=2400 MHz",89.59664992862537,89.59443315050875,0.0022167781166189116,2.474236443792182e-05,0.02,一致,常数 32.45 dB 为 20log10(4π·10^9/c) 的取整，非题面误差
式(3-5) 自由空间传播损耗,"D=1.0 km, f=2400 MHz, Lobs=10 dB",100.05422483423212,100.05422483523212,1.0000036354540498e-09,9.99461679005401e-12,1e-09,一致,问题三_通信核心.certified_link（门限二分反解）
式(3-5) 与物理式一致性（容差依据）,"D=1.0 km, f=2400 MHz",100.05422483423212,100.0520080561155,0.0022167781166189116,2.2156258127029316e-05,0.02,一致,常数 32.45 dB 为 20log10(4π·10^9/c) 的取整，非题面误差
式(3-5) 自由空间传播损耗,"D=6.0 km, f=2400 MHz, Lobs=10 dB",115.617249841905,115.617249842905,1.0000036354540498e-09,8.649259836337616e-12,1e-09,一致,问题三_通信核心.certified_link（门限二分反解）
式(3-5) 与物理式一致性（容差依据）,"D=6.0 km, f=2400 MHz",115.617249841905,115.61503306378837,0.0022167781166189116,1.9173787853313565e-05,0.02,一致,常数 32.45 dB 为 20log10(4π·10^9/c) 的取整，非题面误差
式(3-5) 自由空间传播损耗,"D=20.0 km, f=2400 MHz, Lobs=10 dB",126.07482474751174,126.07482474851173,9.999894245993346e-10,7.931713778655394e-12,1e-09,一致,问题三_通信核心.certified_link（门限二分反解）
式(3-5) 与物理式一致性（容差依据）,"D=20.0 km, f=2400 MHz",126.07482474751174,126.07260796939512,0.0022167781166189116,1.7583344648165348e-05,0.02,一致,常数 32.45 dB 为 20log10(4π·10^9/c) 的取整，非题面误差
式(3-2)(3-3)(3-4) 链路预算,参数 freq_mhz,2400.0,2400.0,0.0,0.0,1e-09,一致,问题三_通信核心.load_parameters
式(3-2)(3-3)(3-4) 链路预算,参数 obstruction_db,10.0,10.0,0.0,0.0,1e-09,一致,问题三_通信核心.load_parameters
式(3-2)(3-3)(3-4) 链路预算,参数 limit_direct,122.0,122.0,0.0,0.0,1e-09,一致,问题三_通信核心.load_parameters
式(3-2)(3-3)(3-4) 链路预算,参数 limit_access,116.0,116.0,0.0,0.0,1e-09,一致,问题三_通信核心.load_parameters
式(3-2)(3-3)(3-4) 链路预算,参数 limit_backhaul,126.0,126.0,0.0,0.0,1e-09,一致,问题三_通信核心.load_parameters
式(3-2) 接收门限 Pth=Psens+M,"Psens=-98, M=8",-90.0,-90.0,0.0,0.0,1e-09,一致,由实现门限反解（直连）
架次总能耗（问题二主方案 25 架次合计）,主方案,69.96489527172167,69.96489527172167,0.0,0.0,1e-09,一致,问题二_调度核心.evaluate_sortie（自有加载数据）
架次总能耗（问题二主方案，发布值对照）,主方案,69.96489527172167,69.96489527172167,0.0,0.0,1e-09,一致,results/问题二_参考口径/主方案_完整方案.json
最低返航 SOC（问题二主方案）,主方案,0.21865846083130847,0.21865846083130847,0.0,0.0,1e-09,一致,问题二_调度核心.evaluate_sortie（自有加载数据）
最低返航 SOC（问题二主方案，发布值对照）,主方案,0.21865846083130847,0.21865846083130847,0.0,0.0,1e-09,一致,主方案_完整方案.json
架次总能耗（12 个已发布方案中最差者）,非支配方案_11_完整方案.json,61.610862526263546,61.61086252626353,1.4210854715202004e-14,2.306550197888268e-16,1e-09,一致,results/问题二_参考口径/*_完整方案.json
架次总能耗（问题三运输 22 架次合计）,主方案_完整方案.json,71.43661028390927,71.43661028390927,0.0,0.0,1e-09,一致,自有逐架次复算 vs 发布 JSON
中继架次总能耗（问题三 4 架次合计）,主方案_完整方案.json,4.76048450902673,4.760484509015939,1.0791367799356522e-11,2.266863336897457e-12,1e-09,一致,自有中继复算 vs 发布 JSON
联合最晚返航（问题三）,"max(运输, 中继 return_s)",9573.284379343868,9573.284379343868,0.0,0.0,1e-09,一致,主方案_完整方案.json
最低返航 SOC（问题三运输）,22 架次最小值,0.21236551110923707,0.21236551110923707,0.0,0.0,1e-09,一致,主方案_完整方案.json
最低返航 SOC（问题三中继）,4 架次最小值,0.38674256765015547,0.3867425676520453,1.8898216325169415e-12,4.886510538496569e-12,1e-09,一致,主方案_完整方案.json
