方案,种子,迭代,当前代价,历史最优代价,历史最优完成时间_s,历史最优能耗_kWh,历史最优架次
完成时间优先,3,5500,65621.41809243869,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,5600,65618.70038888644,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,5700,65620.2727003892,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,5900,65616.83648100152,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,6000,65620.92500421718,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,6200,65617.56415304306,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,6300,65616.91207487736,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,6400,65617.96889966479,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,6500,65616.50467838878,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,6600,65616.78575031404,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,6700,65616.07997323098,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,6900,65617.38505614232,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,7000,65119.55464857839,65119.55464857839,6461.927271516565,74.0563866825478,26
完成时间优先,3,7200,65119.89634730927,65117.88640942291,6461.927271516565,73.7227388514513,26
完成时间优先,3,7300,65120.594985230935,65117.88640942291,6461.927271516565,73.7227388514513,26
完成时间优先,3,7400,65119.81817037307,65117.88640942291,6461.927271516565,73.7227388514513,26
完成时间优先,3,7500,65118.8001512372,65117.37880347528,6461.927271516565,73.62121766192554,26
完成时间优先,3,7800,65118.775870677826,65117.28578210775,6461.927271516565,73.60261338841964,26
完成时间优先,3,8000,65054.38011033458,65052.46425269023,6455.387890022364,73.71707049331766,26
完成时间优先,4,300,68245.99938045243,65695.83036349375,6522.900301924575,69.36546884959914,24
完成时间优先,4,700,69936.50101090453,65695.83036349375,6522.900301924575,69.36546884959914,24
完成时间优先,4,800,67250.67362266983,65695.83036349375,6522.900301924575,69.36546884959914,24
完成时间优先,4,900,65888.8505339047,65695.83036349375,6522.900301924575,69.36546884959914,24
完成时间优先,4,1100,65454.01347857738,65368.29918471093,6488.141178451479,72.37748003922815,25
完成时间优先,4,1200,65370.54428819777,65368.29918471093,6488.141178451479,72.37748003922815,25
完成时间优先,4,1400,65193.66803404613,65191.78676033509,6470.480649299858,72.39605346730272,25
完成时间优先,4,1500,65192.7388039609,65191.78676033509,6470.480649299858,72.39605346730272,25
完成时间优先,4,1600,65467.46208100838,65190.9283034593,6470.480649299858,72.22436209214565,25
完成时间优先,4,1700,65450.08294758781,65190.9283034593,6470.480649299858,72.22436209214565,25
完成时间优先,4,1900,65260.76346218928,65190.9283034593,6470.480649299858,72.22436209214565,25
完成时间优先,4,2000,65450.97183236931,65190.9283034593,6470.480649299858,72.22436209214565,25
完成时间优先,4,2100,65257.83171725492,65190.9283034593,6470.480649299858,72.22436209214565,25
完成时间优先,4,2200,65457.774374400164,65190.9283034593,6470.480649299858,72.22436209214565,25
完成时间优先,4,2300,65267.42954672669,65190.9283034593,6470.480649299858,72.22436209214565,25
完成时间优先,4,2400,65778.5593398249,65190.9283034593,6470.480649299858,72.22436209214565,25
完成时间优先,4,2500,65178.14515057733,65178.14515057733,6470.480649299858,69.66773151575093,25
完成时间优先,4,2800,65165.51500560361,65165.41906691302,6470.480649299858,68.12251478288881,24
完成时间优先,4,3100,65166.00422625617,65164.09155226924,6470.480649299858,67.85701185413222,24
完成时间优先,4,3200,65164.86753864841,65164.09155226924,6470.480649299858,67.85701185413222,24
完成时间优先,4,3400,65164.74600749145,65164.09155226924,6470.480649299858,67.85701185413222,24
完成时间优先,4,3500,65176.50846389097,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,3600,65175.560791893506,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,3800,65178.932028191186,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,3900,65179.033476447985,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,4000,65176.91306942845,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,4100,65178.375509323356,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,4200,65176.15928452579,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,4400,65177.37760113184,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,4500,65177.37749196843,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,4600,65177.658563893696,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,4700,65178.50410441729,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,4800,65177.82214169489,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,4900,65176.973046920066,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,5000,65176.91687200492,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,5100,65176.91317859185,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,5200,65176.077510181785,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,5300,65178.20101522499,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,5400,65177.978606154444,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,5700,65178.375400159945,65163.70745944062,6470.480649299858,67.78019328840963,24
