返航余量_百分比,服务区,机型,最大安全载荷_kg,状态,全任务架次数,全任务能耗_kWh,全任务累计时间_s,最低实际返航SOC
30.0,S001,B,30.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S001,C,80.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S002,A,25.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S002,B,26.749375179841454,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S002,C,52.95930846761122,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S003,A,24.751660382744056,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S003,B,25.433952075448797,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S003,C,51.808734288638334,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S004,A,20.146095452962147,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S004,B,23.431622386698205,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S004,C,44.734297441884884,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S005,A,25.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S005,B,30.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S005,C,80.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S006,A,25.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S006,B,30.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S006,C,80.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S007,A,25.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S007,B,30.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S007,C,80.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S008,A,14.34978827934691,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S008,B,21.057638023417116,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S008,C,36.906488874404886,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S009,A,25.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S009,B,30.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S009,C,79.12596647161736,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S010,A,25.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S010,B,30.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S010,C,80.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S011,A,25.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S011,B,30.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S011,C,80.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S012,A,25.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S012,B,26.008321738237004,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S012,C,51.7941325975067,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S013,A,25.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S013,B,30.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S013,C,80.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S014,A,25.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S014,B,30.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S014,C,79.91087799562646,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S015,A,25.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S015,B,30.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
30.0,S015,C,72.9825587801162,energy_limited,20,67.22501798385701,36586.85464033377,0.31013653357391047
