mplot3d_elev（度）,真实仰角θ（度）,方位角（度）,可见地面点数,满足余量(≥2m)的地面点数,最小视线余量（m）,被遮挡节点
36.0,13.61,-123.0,13,13,-24.01,S004-S007-S013
36.0,13.61,-120.0,13,13,-31.58,S004-S007-S013
36.0,13.61,-117.0,13,13,-14.91,S004-S007-S013
36.0,13.61,-114.0,13,13,-9.39,S004-S007-S013
36.0,13.61,-111.0,13,13,-10.35,S004-S007-S013
36.0,13.61,-108.0,13,13,-11.31,S004-S007-S013
36.0,13.61,-105.0,14,13,-13.9,S004-S007
36.0,13.61,-102.0,14,13,-15.24,S004-S007
36.0,13.61,-99.0,14,13,-13.74,S004-S007
36.0,13.61,-96.0,14,13,-14.41,S004-S007
36.0,13.61,-93.0,14,13,-15.44,S004-S007
36.0,13.61,-90.0,14,14,-17.8,S004-S007
36.0,13.61,-87.0,14,14,-20.52,S004-S007
36.0,13.61,-84.0,13,13,-32.12,O01-S004-S007
36.0,13.61,-81.0,13,13,-33.05,O01-S004-S007
36.0,13.61,-78.0,13,13,-37.7,O01-S004-S007
36.0,13.61,-75.0,13,12,-33.16,O01-S004-S007
36.0,13.61,-72.0,13,11,-48.26,O01-S004-S007
36.0,13.61,-69.0,11,11,-77.8,O01-S002-S004-S007-S008
36.0,13.61,-66.0,12,11,-85.6,O01-S002-S004-S007
36.0,13.61,-63.0,12,12,-84.45,O01-S002-S004-S007
36.0,13.61,-60.0,12,12,-93.21,O01-S002-S004-S007
36.0,13.61,-57.0,12,12,-61.38,O01-S002-S004-S007
36.0,13.61,-54.0,12,11,-34.39,O01-S002-S004-S007
36.0,13.61,-51.0,11,11,-17.05,O01-S002-S004-S007-S008
36.0,13.61,-48.0,10,9,-16.49,O01-S002-S004-S007-S008-S009
36.0,13.61,-45.0,11,10,-15.93,O01-S002-S004-S007-S009
36.0,13.61,-42.0,11,10,-15.4,O01-S002-S004-S007-S009
36.0,13.61,-39.0,11,10,-14.88,O01-S002-S004-S007-S009
36.0,13.61,-36.0,10,9,-14.38,O01-S002-S004-S007-S009-S014
36.0,13.61,-33.0,10,9,-13.9,O01-S002-S004-S007-S009-S014
36.0,13.61,-30.0,11,9,-24.88,O01-S002-S007-S009-S014
36.0,13.61,-27.0,12,10,-39.62,S002-S007-S009-S014
36.0,13.61,-24.0,11,11,-23.78,S002-S006-S007-S009-S014
36.0,13.61,-21.0,11,11,-21.9,S002-S006-S007-S009-S014
36.0,13.61,-18.0,13,12,-17.83,S006-S007-S009
36.0,13.61,-15.0,13,13,-13.8,S006-S007-S009
36.0,13.61,-12.0,13,13,-11.77,S006-S007-S009
36.0,13.61,-9.0,13,13,-9.28,S006-S007-S009
36.0,13.61,-6.0,13,13,-5.54,S006-S007-S009
36.0,13.61,-3.0,13,13,-3.61,S006-S007-S009
36.0,13.61,0.0,14,14,-2.33,S006-S007
36.0,13.61,3.0,14,14,-1.98,S006-S007
36.0,13.61,6.0,14,14,-2.18,S006-S007
36.0,13.61,9.0,15,13,-2.37,S006
36.0,13.61,12.0,14,13,-5.09,S005-S006
36.0,13.61,15.0,14,12,-10.03,S005-S006
36.0,13.61,18.0,13,13,-15.27,S005-S006-S011
36.0,13.61,21.0,13,13,-13.71,S005-S006-S011
36.0,13.61,24.0,13,13,-11.46,S005-S006-S011
36.0,13.61,27.0,13,12,-15.95,S005-S006-S011
36.0,13.61,30.0,14,12,-18.62,S005-S006
36.0,13.61,33.0,14,12,-15.2,S005-S006
36.0,13.61,36.0,12,11,-12.86,S003-S005-S006-S011
36.0,13.61,39.0,11,11,-19.44,S003-S005-S006-S011-S015
36.0,13.61,42.0,11,11,-27.66,S003-S005-S006-S011-S015
36.0,13.61,45.0,12,12,-30.64,S003-S006-S011-S015
36.0,13.61,48.0,12,12,-27.65,S003-S006-S011-S015
36.0,13.61,51.0,14,12,-18.97,S003-S015
36.0,13.61,54.0,14,12,-38.62,S003-S015
36.0,13.61,57.0,13,11,-52.86,S003-S011-S015
36.0,13.61,60.0,12,12,-69.87,S003-S007-S011-S015
36.0,13.61,63.0,12,12,-82.33,S003-S007-S011-S015
36.0,13.61,66.0,12,12,-86.42,S003-S007-S011-S015
36.0,13.61,69.0,12,11,-93.52,S003-S007-S011-S015
36.0,13.61,72.0,12,10,-99.8,S003-S007-S011-S015
36.0,13.61,75.0,12,10,-101.67,S003-S007-S011-S015
36.0,13.61,78.0,10,9,-105.09,S003-S007-S009-S010-S011-S015
36.0,13.61,81.0,8,8,-103.96,S002-S003-S006-S007-S009-S010-S011-S015
36.0,13.61,84.0,9,9,-102.05,S002-S003-S007-S009-S010-S011-S015
36.0,13.61,87.0,9,9,-93.84,S002-S003-S007-S009-S010-S011-S015
36.0,13.61,90.0,9,9,-89.08,S002-S003-S007-S009-S010-S011-S015
36.0,13.61,93.0,9,8,-84.09,S002-S003-S007-S009-S010-S011-S015
36.0,13.61,96.0,11,8,-78.93,S003-S009-S010-S011-S015
36.0,13.61,99.0,10,8,-72.89,S003-S004-S009-S010-S011-S015
36.0,13.61,102.0,9,9,-65.89,S003-S004-S009-S010-S011-S014-S015
36.0,13.61,105.0,9,9,-55.08,S003-S004-S009-S010-S011-S014-S015
36.0,13.61,108.0,9,9,-47.36,S003-S004-S009-S010-S011-S014-S015
36.0,13.61,111.0,9,9,-44.55,S003-S004-S009-S010-S011-S014-S015
36.0,13.61,114.0,10,9,-39.43,S003-S004-S009-S010-S014-S015
36.0,13.61,117.0,10,9,-34.46,S003-S004-S009-S010-S014-S015
36.0,13.61,120.0,10,9,-30.51,S003-S004-S009-S010-S014-S015
36.0,13.61,123.0,11,10,-27.57,S003-S009-S010-S014-S015
36.0,13.61,126.0,11,9,-25.71,S003-S009-S010-S014-S015
36.0,13.61,129.0,10,9,-25.53,S003-S006-S009-S010-S014-S015
36.0,13.61,132.0,10,8,-33.64,S003-S006-S010-S012-S014-S015
36.0,13.61,135.0,11,8,-52.89,S003-S006-S010-S012-S014
36.0,13.61,138.0,11,8,-50.13,S003-S006-S010-S012-S014
36.0,13.61,141.0,11,10,-50.74,S003-S006-S010-S012-S014
36.0,13.61,144.0,11,11,-58.66,S003-S006-S010-S012-S014
36.0,13.61,147.0,11,11,-63.35,S003-S006-S010-S012-S014
36.0,13.61,150.0,11,9,-65.75,S003-S006-S010-S012-S014
36.0,13.61,153.0,10,9,-71.81,S002-S003-S006-S010-S012-S014
36.0,13.61,156.0,10,9,-74.86,S002-S003-S006-S010-S012-S014
36.0,13.61,159.0,10,7,-64.49,S001-S002-S003-S006-S012-S014
36.0,13.61,162.0,10,7,-52.42,S001-S002-S003-S006-S012-S014
36.0,13.61,165.0,10,9,-36.21,S001-S002-S003-S006-S012-S014
36.0,13.61,168.0,10,9,-27.62,S001-S002-S003-S006-S012-S014
36.0,13.61,171.0,12,9,-19.98,S001-S003-S012-S014
36.0,13.61,174.0,12,11,-30.37,S001-S003-S012-S014
36.0,13.61,177.0,12,11,-52.17,S001-S003-S012-S014
37.0,14.1,-180.0,13,13,-59.3,S003-S012-S014
37.0,14.1,-177.0,13,13,-54.91,S003-S012-S014
37.0,14.1,-174.0,13,12,-45.92,S003-S012-S014
37.0,14.1,-171.0,13,12,-35.26,S003-S012-S014
37.0,14.1,-168.0,14,12,-34.71,S012-S014
37.0,14.1,-165.0,14,10,-30.56,S012-S014
37.0,14.1,-162.0,13,11,-29.4,S004-S012-S014
37.0,14.1,-159.0,14,11,-24.07,S004-S014
37.0,14.1,-156.0,11,10,-15.14,S004-S007-S011-S013-S014
37.0,14.1,-153.0,11,10,-10.65,S004-S007-S011-S013-S014
37.0,14.1,-150.0,11,10,-12.45,S004-S007-S011-S013-S014
37.0,14.1,-147.0,11,10,-14.79,S004-S007-S011-S013-S014
37.0,14.1,-144.0,11,10,-16.67,S004-S007-S011-S013-S014
37.0,14.1,-141.0,11,11,-15.61,S004-S007-S011-S012-S013
37.0,14.1,-138.0,11,11,-14.15,S004-S007-S011-S012-S013
37.0,14.1,-135.0,11,11,-9.54,S004-S007-S011-S012-S013
37.0,14.1,-132.0,12,11,-7.82,S004-S007-S011-S013
37.0,14.1,-129.0,13,13,-7.75,S004-S007-S013
37.0,14.1,-126.0,13,13,-7.29,S004-S007-S013
37.0,14.1,-123.0,13,13,-12.26,S004-S007-S013
37.0,14.1,-120.0,13,13,-21.01,S004-S007-S013
37.0,14.1,-117.0,13,13,-8.76,S004-S007-S013
37.0,14.1,-114.0,13,13,-9.08,S004-S007-S013
37.0,14.1,-111.0,13,13,-9.83,S004-S007-S013
37.0,14.1,-108.0,14,13,-10.78,S004-S007
37.0,14.1,-105.0,14,13,-11.73,S004-S007
37.0,14.1,-102.0,14,13,-12.63,S004-S007
37.0,14.1,-99.0,14,13,-13.26,S004-S007
37.0,14.1,-96.0,14,13,-13.94,S004-S007
37.0,14.1,-93.0,14,14,-14.64,S004-S007
37.0,14.1,-90.0,14,14,-15.71,S004-S007
37.0,14.1,-87.0,14,14,-18.44,S004-S007
37.0,14.1,-84.0,14,13,-26.04,S004-S007
37.0,14.1,-81.0,13,13,-26.75,O01-S004-S007
37.0,14.1,-78.0,13,13,-32.12,O01-S004-S007
37.0,14.1,-75.0,13,13,-27.41,O01-S004-S007
37.0,14.1,-72.0,13,13,-41.57,O01-S004-S007
37.0,14.1,-69.0,13,11,-71.5,O01-S004-S007
37.0,14.1,-66.0,12,12,-78.02,O01-S002-S004-S007
37.0,14.1,-63.0,12,12,-76.7,O01-S002-S004-S007
37.0,14.1,-60.0,12,12,-84.56,O01-S002-S004-S007
37.0,14.1,-57.0,12,12,-53.28,O01-S002-S004-S007
37.0,14.1,-54.0,12,12,-26.18,O01-S002-S004-S007
37.0,14.1,-51.0,12,12,-16.52,O01-S002-S004-S007
37.0,14.1,-48.0,12,11,-15.95,O01-S002-S004-S007
37.0,14.1,-45.0,11,10,-15.4,O01-S002-S004-S007-S009
37.0,14.1,-42.0,11,10,-14.87,O01-S002-S004-S007-S009
37.0,14.1,-39.0,12,10,-14.35,S002-S004-S007-S009
37.0,14.1,-36.0,11,10,-13.85,O01-S002-S004-S007-S009
37.0,14.1,-33.0,11,9,-13.37,O01-S002-S007-S009-S014
37.0,14.1,-30.0,12,10,-18.23,S002-S007-S009-S014
37.0,14.1,-27.0,12,11,-32.64,S002-S007-S009-S014
37.0,14.1,-24.0,12,11,-21.68,S002-S007-S009-S014
37.0,14.1,-21.0,13,12,-19.72,S002-S007-S009
37.0,14.1,-18.0,13,13,-15.7,S006-S007-S009
37.0,14.1,-15.0,13,13,-11.88,S006-S007-S009
37.0,14.1,-12.0,13,13,-9.86,S006-S007-S009
37.0,14.1,-9.0,13,13,-7.48,S006-S007-S009
37.0,14.1,-6.0,13,13,-4.34,S006-S007-S009
37.0,14.1,-3.0,14,13,-3.09,S006-S007
37.0,14.1,0.0,14,14,-1.82,S006-S007
37.0,14.1,3.0,14,14,-1.73,S006-S007
37.0,14.1,6.0,15,14,-1.93,S006
37.0,14.1,9.0,15,14,-2.12,S006
37.0,14.1,12.0,14,13,-2.61,S005-S006
37.0,14.1,15.0,14,14,-7.55,S005-S006
37.0,14.1,18.0,14,13,-12.63,S005-S006
37.0,14.1,21.0,13,13,-11.35,S005-S006-S011
37.0,14.1,24.0,13,13,-8.49,S005-S006-S011
37.0,14.1,27.0,14,13,-12.45,S005-S006
37.0,14.1,30.0,14,13,-15.36,S005-S006
37.0,14.1,33.0,14,13,-11.98,S005-S006
37.0,14.1,36.0,13,11,-9.62,S003-S005-S006
37.0,14.1,39.0,12,11,-13.79,S003-S005-S006-S011
37.0,14.1,42.0,11,11,-21.64,S003-S005-S006-S011-S015
37.0,14.1,45.0,12,12,-24.44,S003-S006-S011-S015
37.0,14.1,48.0,14,12,-21.41,S003-S015
37.0,14.1,51.0,14,12,-15.54,S003-S015
37.0,14.1,54.0,14,12,-33.99,S003-S015
37.0,14.1,57.0,14,12,-47.49,S003-S015
37.0,14.1,60.0,13,13,-64.94,S003-S011-S015
37.0,14.1,63.0,13,12,-76.23,S003-S011-S015
37.0,14.1,66.0,12,12,-81.92,S003-S007-S011-S015
37.0,14.1,69.0,12,11,-88.2,S003-S007-S011-S015
37.0,14.1,72.0,12,11,-95.51,S003-S007-S011-S015
37.0,14.1,75.0,12,10,-96.74,S003-S007-S011-S015
37.0,14.1,78.0,11,10,-100.29,S003-S007-S009-S011-S015
37.0,14.1,81.0,9,9,-99.25,S002-S003-S007-S009-S010-S011-S015
37.0,14.1,84.0,9,9,-97.49,S002-S003-S007-S009-S010-S011-S015
37.0,14.1,87.0,9,9,-90.93,S002-S003-S007-S009-S010-S011-S015
37.0,14.1,90.0,9,9,-85.02,S002-S003-S007-S009-S010-S011-S015
37.0,14.1,93.0,10,9,-80.4,S002-S003-S009-S010-S011-S015
37.0,14.1,96.0,11,9,-75.52,S003-S009-S010-S011-S015
37.0,14.1,99.0,11,9,-68.39,S003-S009-S010-S011-S015
37.0,14.1,102.0,9,9,-61.49,S003-S004-S009-S010-S011-S014-S015
37.0,14.1,105.0,9,9,-50.95,S003-S004-S009-S010-S011-S014-S015
37.0,14.1,108.0,9,9,-44.85,S003-S004-S009-S010-S011-S014-S015
37.0,14.1,111.0,9,9,-42.49,S003-S004-S009-S010-S011-S014-S015
37.0,14.1,114.0,10,9,-37.28,S003-S004-S009-S010-S014-S015
37.0,14.1,117.0,10,9,-32.33,S003-S004-S009-S010-S014-S015
37.0,14.1,120.0,10,10,-28.41,S003-S004-S009-S010-S014-S015
37.0,14.1,123.0,11,10,-25.5,S003-S009-S010-S014-S015
37.0,14.1,126.0,11,10,-23.73,S003-S009-S010-S014-S015
37.0,14.1,129.0,11,9,-23.41,S003-S006-S010-S014-S015
37.0,14.1,132.0,12,9,-27.32,S003-S006-S010-S014
37.0,14.1,135.0,11,9,-46.46,S003-S006-S010-S012-S014
37.0,14.1,138.0,11,10,-43.55,S003-S006-S010-S012-S014
37.0,14.1,141.0,11,11,-44.73,S003-S006-S010-S012-S014
37.0,14.1,144.0,11,11,-52.4,S003-S006-S010-S012-S014
37.0,14.1,147.0,11,11,-57.05,S003-S006-S010-S012-S014
37.0,14.1,150.0,11,11,-60.04,S003-S006-S010-S012-S014
37.0,14.1,153.0,10,10,-65.83,S002-S003-S006-S010-S012-S014
37.0,14.1,156.0,11,9,-68.4,S002-S003-S006-S012-S014
37.0,14.1,159.0,10,9,-58.14,S001-S002-S003-S006-S012-S014
37.0,14.1,162.0,10,9,-46.66,S001-S002-S003-S006-S012-S014
37.0,14.1,165.0,10,9,-30.18,S001-S002-S003-S006-S012-S014
37.0,14.1,168.0,10,10,-21.1,S001-S002-S003-S006-S012-S014
37.0,14.1,171.0,12,12,-17.16,S001-S003-S012-S014
37.0,14.1,174.0,12,12,-24.21,S001-S003-S012-S014
37.0,14.1,177.0,13,12,-46.35,S003-S012-S014
38.0,14.6,-180.0,13,13,-53.26,S003-S012-S014
38.0,14.6,-177.0,13,13,-48.63,S003-S012-S014
38.0,14.6,-174.0,13,13,-39.98,S003-S012-S014
38.0,14.6,-171.0,14,13,-29.62,S012-S014
38.0,14.6,-168.0,14,12,-28.03,S012-S014
38.0,14.6,-165.0,14,12,-24.37,S012-S014
38.0,14.6,-162.0,14,11,-24.03,S004-S014
38.0,14.6,-159.0,14,12,-18.68,S004-S014
38.0,14.6,-156.0,12,11,-9.83,S004-S007-S011-S014
38.0,14.6,-153.0,11,11,-9.03,S004-S007-S011-S013-S014
38.0,14.6,-150.0,12,11,-10.65,S004-S007-S011-S014
38.0,14.6,-147.0,11,11,-12.2,S004-S007-S011-S013-S014
38.0,14.6,-144.0,11,11,-14.23,S004-S007-S011-S013-S014
38.0,14.6,-141.0,12,11,-13.1,S004-S007-S011-S013
38.0,14.6,-138.0,12,11,-11.45,S004-S007-S011-S013
38.0,14.6,-135.0,11,11,-7.33,S004-S007-S011-S012-S013
38.0,14.6,-132.0,12,12,-6.46,S004-S007-S011-S013
38.0,14.6,-129.0,13,13,-6.46,S004-S007-S013
38.0,14.6,-126.0,13,13,-7.01,S004-S007-S013
38.0,14.6,-123.0,13,13,-7.53,S004-S007-S013
38.0,14.6,-120.0,13,13,-10.21,S004-S007-S013
38.0,14.6,-117.0,13,13,-8.47,S004-S007-S013
38.0,14.6,-114.0,13,13,-8.81,S004-S007-S013
38.0,14.6,-111.0,13,13,-9.3,S004-S007-S013
38.0,14.6,-108.0,14,13,-10.25,S004-S007
38.0,14.6,-105.0,14,13,-11.19,S004-S007
38.0,14.6,-102.0,14,13,-12.13,S004-S007
38.0,14.6,-99.0,14,13,-12.78,S004-S007
38.0,14.6,-96.0,14,14,-13.45,S004-S007
38.0,14.6,-93.0,14,14,-14.15,S004-S007
38.0,14.6,-90.0,14,14,-14.86,S004-S007
38.0,14.6,-87.0,14,14,-16.32,S004-S007
38.0,14.6,-84.0,14,14,-19.81,S004-S007
38.0,14.6,-81.0,13,13,-20.74,O01-S004-S007
38.0,14.6,-78.0,13,13,-26.42,O01-S004-S007
38.0,14.6,-75.0,13,13,-21.68,O01-S004-S007
38.0,14.6,-72.0,13,13,-34.74,O01-S004-S007
38.0,14.6,-69.0,13,13,-65.04,O01-S004-S007
38.0,14.6,-66.0,12,12,-70.26,O01-S002-S004-S007
38.0,14.6,-63.0,12,12,-68.79,O01-S002-S004-S007
38.0,14.6,-60.0,12,12,-75.7,O01-S002-S004-S007
38.0,14.6,-57.0,12,12,-44.98,O01-S002-S004-S007
38.0,14.6,-54.0,12,12,-17.77,O01-S002-S004-S007
38.0,14.6,-51.0,12,12,-15.97,O01-S002-S004-S007
38.0,14.6,-48.0,12,11,-15.4,O01-S002-S004-S007
38.0,14.6,-45.0,11,11,-14.86,O01-S002-S004-S007-S009
38.0,14.6,-42.0,12,10,-14.32,S002-S004-S007-S009
38.0,14.6,-39.0,12,10,-13.81,S002-S004-S007-S009
38.0,14.6,-36.0,13,10,-13.31,S002-S007-S009
38.0,14.6,-33.0,12,9,-12.82,S002-S007-S009-S014
38.0,14.6,-30.0,12,11,-13.48,S002-S007-S009-S014
38.0,14.6,-27.0,12,11,-25.45,S002-S007-S009-S014
38.0,14.6,-24.0,12,11,-19.53,S002-S007-S009-S014
38.0,14.6,-21.0,14,12,-17.5,S007-S009
38.0,14.6,-18.0,14,13,-13.52,S007-S009
38.0,14.6,-15.0,13,13,-9.91,S006-S007-S009
38.0,14.6,-12.0,13,13,-7.91,S006-S007-S009
38.0,14.6,-9.0,13,13,-5.59,S006-S007-S009
38.0,14.6,-6.0,13,13,-3.82,S006-S007-S009
38.0,14.6,-3.0,14,13,-2.56,S006-S007
38.0,14.6,0.0,14,14,-1.29,S006-S007
38.0,14.6,3.0,15,14,-1.47,S006
38.0,14.6,6.0,15,14,-1.67,S006
38.0,14.6,9.0,15,14,-1.86,S006
38.0,14.6,12.0,14,14,-2.05,S005-S006
38.0,14.6,15.0,14,14,-5.01,S005-S006
38.0,14.6,18.0,14,13,-9.94,S005-S006
38.0,14.6,21.0,14,13,-8.94,S005-S006
38.0,14.6,24.0,14,13,-5.47,S005-S006
38.0,14.6,27.0,14,13,-8.89,S005-S006
38.0,14.6,30.0,14,14,-12.03,S005-S006
38.0,14.6,33.0,14,14,-8.69,S005-S006
38.0,14.6,36.0,14,12,-6.31,S005-S006
38.0,14.6,39.0,13,11,-8.04,S003-S005-S006
38.0,14.6,42.0,14,12,-15.48,S003-S006
38.0,14.6,45.0,14,12,-18.02,S003-S015
38.0,14.6,48.0,14,12,-15.02,S003-S015
38.0,14.6,51.0,14,12,-12.03,S003-S015
38.0,14.6,54.0,14,12,-29.28,S003-S015
38.0,14.6,57.0,14,12,-41.98,S003-S015
38.0,14.6,60.0,14,13,-59.9,S003-S015
38.0,14.6,63.0,14,13,-69.97,S003-S015
38.0,14.6,66.0,13,12,-77.37,S003-S011-S015
38.0,14.6,69.0,12,12,-82.75,S003-S007-S011-S015
38.0,14.6,72.0,12,11,-91.15,S003-S007-S011-S015
38.0,14.6,75.0,12,10,-91.69,S003-S007-S011-S015
38.0,14.6,78.0,11,10,-95.38,S003-S007-S009-S011-S015
38.0,14.6,81.0,10,9,-94.42,S003-S007-S009-S010-S011-S015
38.0,14.6,84.0,9,9,-92.68,S002-S003-S007-S009-S010-S011-S015
38.0,14.6,87.0,9,9,-88.01,S002-S003-S007-S009-S010-S011-S015
38.0,14.6,90.0,10,9,-80.88,S002-S003-S009-S010-S011-S015
38.0,14.6,93.0,11,10,-76.64,S003-S009-S010-S011-S015
38.0,14.6,96.0,11,11,-71.87,S003-S009-S010-S011-S015
38.0,14.6,99.0,11,11,-63.78,S003-S009-S010-S011-S015
38.0,14.6,102.0,11,9,-57.0,S003-S009-S010-S011-S015
38.0,14.6,105.0,10,9,-46.72,S003-S009-S010-S011-S014-S015
38.0,14.6,108.0,10,9,-42.68,S003-S009-S010-S011-S014-S015
38.0,14.6,111.0,11,9,-40.33,S003-S009-S010-S014-S015
38.0,14.6,114.0,10,9,-35.07,S003-S004-S009-S010-S014-S015
38.0,14.6,117.0,10,9,-30.16,S003-S004-S009-S010-S014-S015
38.0,14.6,120.0,11,10,-26.26,S003-S009-S010-S014-S015
38.0,14.6,123.0,11,11,-23.37,S003-S009-S010-S014-S015
38.0,14.6,126.0,12,11,-21.84,S003-S010-S014-S015
38.0,14.6,129.0,13,10,-21.24,S003-S010-S014
38.0,14.6,132.0,12,10,-21.15,S003-S006-S010-S014
38.0,14.6,135.0,11,10,-39.4,S003-S006-S010-S012-S014
38.0,14.6,138.0,11,10,-36.81,S003-S006-S010-S012-S014
38.0,14.6,141.0,11,11,-38.29,S003-S006-S010-S012-S014
38.0,14.6,144.0,11,11,-46.0,S003-S006-S010-S012-S014
38.0,14.6,147.0,11,11,-50.6,S003-S006-S010-S012-S014
38.0,14.6,150.0,11,11,-54.43,S003-S006-S010-S012-S014
38.0,14.6,153.0,11,10,-59.64,S003-S006-S010-S012-S014
38.0,14.6,156.0,11,10,-61.79,S002-S003-S006-S012-S014
38.0,14.6,159.0,11,9,-51.65,S002-S003-S006-S012-S014
38.0,14.6,162.0,10,10,-40.78,S001-S002-S003-S006-S012-S014
38.0,14.6,165.0,10,10,-24.01,S001-S002-S003-S006-S012-S014
38.0,14.6,168.0,11,10,-17.28,S001-S003-S006-S012-S014
38.0,14.6,171.0,12,12,-15.21,S001-S003-S012-S014
38.0,14.6,174.0,13,12,-17.92,S003-S012-S014
38.0,14.6,177.0,13,13,-40.43,S003-S012-S014
39.0,15.11,-180.0,13,13,-47.1,S003-S012-S014
39.0,15.11,-177.0,14,13,-42.32,S012-S014
39.0,15.11,-174.0,14,13,-33.89,S012-S014
39.0,15.11,-171.0,14,13,-23.84,S012-S014
39.0,15.11,-168.0,14,13,-21.15,S012-S014
39.0,15.11,-165.0,14,13,-18.04,S012-S014
39.0,15.11,-162.0,15,11,-18.54,S014
39.0,15.11,-159.0,14,12,-13.14,S004-S014
39.0,15.11,-156.0,14,12,-4.5,S004-S014
39.0,15.11,-153.0,12,12,-7.38,S004-S007-S011-S013
39.0,15.11,-150.0,13,11,-8.87,S004-S007-S011
39.0,15.11,-147.0,12,11,-9.65,S004-S007-S011-S014
39.0,15.11,-144.0,12,12,-11.74,S004-S007-S011-S013
39.0,15.11,-141.0,12,12,-10.54,S004-S007-S011-S013
39.0,15.11,-138.0,12,11,-8.82,S004-S007-S011-S013
39.0,15.11,-135.0,12,11,-5.65,S004-S007-S011-S013
39.0,15.11,-132.0,13,13,-5.59,S004-S007-S013
39.0,15.11,-129.0,13,13,-6.17,S004-S007-S013
39.0,15.11,-126.0,13,13,-6.73,S004-S007-S013
39.0,15.11,-123.0,13,13,-7.25,S004-S007-S013
39.0,15.11,-120.0,13,13,-7.73,S004-S007-S013
39.0,15.11,-117.0,13,13,-8.19,S004-S007-S013
39.0,15.11,-114.0,13,13,-8.53,S004-S007-S013
39.0,15.11,-111.0,14,13,-8.81,S004-S007
39.0,15.11,-108.0,14,13,-9.7,S004-S007
39.0,15.11,-105.0,14,13,-10.64,S004-S007
39.0,15.11,-102.0,14,13,-11.57,S004-S007
39.0,15.11,-99.0,14,13,-12.29,S004-S007
39.0,15.11,-96.0,14,14,-12.95,S004-S007
39.0,15.11,-93.0,14,14,-13.65,S004-S007
39.0,15.11,-90.0,14,14,-14.35,S004-S007
39.0,15.11,-87.0,14,14,-15.05,S004-S007
39.0,15.11,-84.0,14,14,-15.74,S004-S007
39.0,15.11,-81.0,14,13,-16.4,S004-S007
39.0,15.11,-78.0,13,13,-20.6,O01-S004-S007
39.0,15.11,-75.0,13,13,-17.28,O01-S004-S007
39.0,15.11,-72.0,13,13,-27.76,O01-S004-S007
39.0,15.11,-69.0,13,13,-58.43,O01-S004-S007
39.0,15.11,-66.0,13,12,-62.3,O01-S004-S007
39.0,15.11,-63.0,12,12,-60.71,O01-S002-S004-S007
39.0,15.11,-60.0,13,12,-66.64,S002-S004-S007
39.0,15.11,-57.0,13,12,-36.48,S002-S004-S007
39.0,15.11,-54.0,12,12,-15.98,O01-S002-S004-S007
39.0,15.11,-51.0,12,12,-15.41,O01-S002-S004-S007
39.0,15.11,-48.0,12,12,-14.84,O01-S002-S004-S007
39.0,15.11,-45.0,12,11,-14.3,S002-S004-S007-S009
39.0,15.11,-42.0,12,11,-13.76,S002-S004-S007-S009
39.0,15.11,-39.0,13,11,-13.25,S002-S007-S009
39.0,15.11,-36.0,13,11,-12.75,S002-S007-S009
39.0,15.11,-33.0,12,11,-12.27,S002-S007-S009-S014
39.0,15.11,-30.0,12,11,-11.8,S002-S007-S009-S014
39.0,15.11,-27.0,12,11,-17.43,S002-S007-S009-S014
39.0,15.11,-24.0,12,11,-17.32,S002-S007-S009-S014
39.0,15.11,-21.0,14,13,-15.22,S007-S009
39.0,15.11,-18.0,14,13,-11.29,S007-S009
39.0,15.11,-15.0,14,13,-7.9,S007-S009
39.0,15.11,-12.0,13,13,-5.91,S006-S007-S009
39.0,15.11,-9.0,13,13,-4.52,S006-S007-S009
39.0,15.11,-6.0,13,13,-3.28,S006-S007-S009
39.0,15.11,-3.0,14,14,-2.02,S006-S007
39.0,15.11,0.0,14,14,-1.0,S006-S007
39.0,15.11,3.0,15,14,-1.21,S006
39.0,15.11,6.0,15,14,-1.41,S006
39.0,15.11,9.0,15,15,-1.6,S006
39.0,15.11,12.0,15,15,-1.78,S006
39.0,15.11,15.0,14,14,-2.4,S005-S006
39.0,15.11,18.0,14,14,-7.19,S005-S006
39.0,15.11,21.0,14,13,-6.47,S005-S006
39.0,15.11,24.0,14,14,-2.97,S005-S006
39.0,15.11,27.0,14,14,-5.09,S005-S006
39.0,15.11,30.0,14,14,-8.62,S005-S006
39.0,15.11,33.0,14,14,-5.3,S005-S006
39.0,15.11,36.0,14,14,-2.92,S005-S006
39.0,15.11,39.0,14,12,-2.1,S003-S006
39.0,15.11,42.0,14,12,-9.19,S003-S006
39.0,15.11,45.0,15,12,-11.47,S003
39.0,15.11,48.0,14,12,-8.49,S003-S015
39.0,15.11,51.0,14,12,-8.43,S003-S015
39.0,15.11,54.0,14,12,-24.01,S003-S015
39.0,15.11,57.0,14,13,-36.32,S003-S015
39.0,15.11,60.0,14,13,-54.75,S003-S015
39.0,15.11,63.0,14,13,-63.59,S003-S015
39.0,15.11,66.0,14,13,-72.75,S003-S015
39.0,15.11,69.0,13,12,-77.19,S003-S011-S015
39.0,15.11,72.0,12,11,-86.73,S003-S007-S011-S015
39.0,15.11,75.0,12,11,-86.46,S003-S007-S011-S015
39.0,15.11,78.0,13,10,-90.34,S003-S011-S015
39.0,15.11,81.0,12,10,-89.48,S003-S009-S011-S015
39.0,15.11,84.0,11,9,-87.76,S003-S009-S010-S011-S015
39.0,15.11,87.0,10,9,-83.17,S002-S003-S009-S010-S011-S015
