起点,终点,水平距离（m）,起点作业海拔（m）,终点作业海拔（m）,航段DEM最高海拔（m）,计划巡航海拔（m）,起点爬升（m）,终点下降（m）,经过DEM像元段数
S004,S013,6196.224250983738,225.11575317382812,351.70806884765625,322.2989807128906,372.2989807128906,147.1832275390625,20.590911865234375,289
S004,S014,9293.77868710086,225.11575317382812,350.9825134277344,505.3861083984375,555.3861083984375,330.2703552246094,204.40359497070312,426
S004,S015,5648.279556425775,225.11575317382812,466.229248046875,641.2510375976562,691.2510375976562,466.1352844238281,225.02178955078125,267
S005,O01,5280.606327336991,199.03955078125,128.7255401611328,276.410888671875,326.410888671875,127.371337890625,197.6853485107422,181
S005,S001,2928.039880963676,199.03955078125,183.96136474609375,266.13800048828125,316.13800048828125,117.09844970703125,132.1766357421875,136
S005,S002,3475.7462899809957,199.03955078125,218.7942352294922,356.79864501953125,406.79864501953125,207.75909423828125,188.00440979003906,161
S005,S003,6340.246903091947,199.03955078125,338.51068115234375,533.8880615234375,583.8880615234375,384.8485107421875,245.37738037109375,272
S005,S004,2608.1403442827377,199.03955078125,225.11575317382812,315.80657958984375,365.80657958984375,166.76702880859375,140.69082641601562,114
S005,S006,6107.117577366371,199.03955078125,305.1272277832031,366.7322998046875,416.7322998046875,217.6927490234375,111.60507202148438,278
S005,S007,4687.96907971755,199.03955078125,344.2220458984375,467.1478271484375,517.1478271484375,318.1082763671875,172.92578125,225
S005,S008,3040.168981138036,199.03955078125,278.2891845703125,316.78717041015625,366.78717041015625,167.74761962890625,88.49798583984375,141
S005,S009,2649.9224926160323,199.03955078125,219.4370880126953,313.5632019042969,363.5632019042969,164.52365112304688,144.12611389160156,97
S005,S010,6361.356798248384,199.03955078125,351.5816650390625,416.15325927734375,466.15325927734375,267.11370849609375,114.57159423828125,305
S005,S011,2802.7123391876435,199.03955078125,208.04286193847656,297.5489196777344,347.5489196777344,148.50936889648438,139.5060577392578,117
S005,S012,5622.612710992103,199.03955078125,283.31507873535156,313.5632019042969,363.5632019042969,164.52365112304688,80.24812316894531,204
S005,S013,5214.4908193431165,199.03955078125,351.70806884765625,324.4444580078125,374.4444580078125,175.4049072265625,22.73638916015625,246
S005,S014,7995.560658109146,199.03955078125,350.9825134277344,552.8875122070312,602.8875122070312,403.84796142578125,251.90499877929688,383
S005,S015,3754.922067221374,199.03955078125,466.229248046875,568.6133422851562,618.6133422851562,419.57379150390625,152.38409423828125,154
S006,O01,3186.208046027234,305.1272277832031,128.7255401611328,316.09783935546875,366.09783935546875,60.970611572265625,237.37229919433594,116
S006,S001,5296.1677039342885,305.1272277832031,183.96136474609375,343.9356384277344,393.9356384277344,88.80841064453125,209.97427368164062,251
S006,S002,9184.868039050856,305.1272277832031,218.7942352294922,344.2987060546875,394.2987060546875,89.17147827148438,175.5044708251953,438
