运输架次编号,通信阶段,开始时刻_s,结束时刻_s,保障方式,中继架次编号
T06,爬升,1085.2264495644085,1113.2386281125855,中继,RS02
T06,巡航,1113.2386281125855,1352.4633706814016,中继,RS02
T06,巡航,1352.4633706814016,1432.2049515376734,直连,
T06,下降,1432.2049515376734,1555.3795657954859,直连,
T07,爬升,540.0,635.3591357421875,直连,
T07,巡航,635.3591357421875,847.7730142905458,直连,
T07,下降,847.7730142905458,873.4219339682802,直连,
T07,投送,873.4219339682802,1197.4219339682802,直连,
T07,爬升,1197.4219339682802,1307.6464652182801,直连,
T07,巡航,1307.6464652182801,1370.332508987208,中继,RS01
T07,巡航,1370.332508987208,1401.675530871672,直连,
T07,巡航,1401.675530871672,1474.809248602088,中继,RS01
T07,下降,1474.809248602088,1595.739912664588,中继,RS01
T07,投送,1595.739912664588,1919.739912664588,中继,RS01
T07,爬升,1919.739912664588,1985.1291826841193,中继,RS01
T07,巡航,1985.1291826841193,2060.7035254609636,中继,RS01
T07,巡航,2060.7035254609636,2287.426553791498,直连,
T07,下降,2287.426553791498,2479.563141315912,直连,
T08,爬升,510.0,568.1426440429688,直连,
T08,巡航,568.1426440429688,720.4544721449797,直连,
T08,巡航,720.4544721449797,771.7412336086296,中继,RS01
T08,下降,771.7412336086296,816.2695386623406,直连,
T08,投送,816.2695386623406,1032.2695386623404,直连,
T08,爬升,1032.2695386623404,1082.3674756740593,直连,
T08,巡航,1082.3674756740593,1155.044101325927,中继,RS01
T08,巡航,1155.044101325927,1373.0739782815297,中继,RS02
T08,下降,1373.0739782815297,1417.946399546178,中继,RS02
T08,投送,1417.946399546178,1813.946399546178,中继,RS02
T08,爬升,1813.946399546178,1849.7281012063343,中继,RS02
T08,巡航,1849.7281012063343,2035.0108625816918,中继,RS02
T08,巡航,2035.0108625816918,2220.293623957049,中继,RS01
T08,巡航,2220.293623957049,2343.815464873954,直连,
T08,下降,2343.815464873954,2434.4425919491496,直连,
T09,爬升,1671.0,1719.4522033691405,直连,
T09,巡航,1719.4522033691405,1910.3258810869477,直连,
T09,巡航,1910.3258810869477,1973.9504403262167,中继,RS01
T09,下降,1973.9504403262167,2009.5730843691854,直连,
T09,投送,2009.5730843691854,2219.5730843691854,直连,
T09,爬升,2219.5730843691854,2249.2586210716595,直连,
T09,巡航,2249.2586210716595,2312.883180310929,中继,RS01
T09,巡航,2312.883180310929,2503.756858028739,直连,
T09,下降,2503.756858028739,2561.8995020717075,直连,
T10,爬升,1945.3795657954859,2035.8735070389755,直连,
T10,巡航,2035.8735070389755,2116.6942133225116,直连,
T10,巡航,2116.6942133225116,2359.1563321731205,中继,RS02
T10,下降,2359.1563321731205,2378.149061665308,中继,RS02
T10,投送,2378.149061665308,2618.149061665308,中继,RS02
T10,爬升,2618.149061665308,2633.976336242131,中继,RS02
T10,巡航,2633.976336242131,2876.4384550927416,中继,RS02
T10,巡航,2876.4384550927416,2957.2591613762784,直连,
T10,下降,2957.2591613762784,3065.851890868466,直连,
T11,爬升,2283.0,2331.4522033691405,直连,
T11,巡航,2331.4522033691405,2484.1511455433865,直连,
T11,巡航,2484.1511455433865,2535.0507929348014,中继,RS01
T11,下降,2535.0507929348014,2570.6734369777705,直连,
T11,投送,2570.6734369777705,2780.6734369777705,直连,
T11,爬升,2780.6734369777705,2810.358973680244,直连,
T11,巡航,2810.358973680244,2861.25862107166,中继,RS01
T11,巡航,2861.25862107166,3013.9575632459077,直连,
T11,下降,3013.9575632459077,3072.1002072888764,直连,
T12,爬升,2350.409811602157,2398.8620149712974,直连,
T12,巡航,2398.8620149712974,2589.7356926891043,直连,
T12,巡航,2589.7356926891043,2653.360251928373,中继,RS01
T12,下降,2653.360251928373,2688.9828959713423,直连,
T12,投送,2688.9828959713423,2868.9828959713423,直连,
T12,爬升,2868.9828959713423,3007.6663676510298,直连,
T12,巡航,3007.6663676510298,3440.683959677587,中继,RS02
T12,下降,3440.683959677587,3540.304125693212,中继,RS02
T12,投送,3540.304125693212,3720.304125693212,中继,RS02
T12,爬升,3720.304125693212,3800.6199215916495,中继,RS02
T12,巡航,3800.6199215916495,4139.345037710036,中继,RS02
T12,巡航,4139.345037710036,4252.253409749498,直连,
T12,下降,4252.253409749498,4437.952364827623,直连,
T13,爬升,2536.1549197008644,2680.8562990953956,直连,
